latitud;longitud;id
40.46570; -3.68971; 1
40.46567; -3.68966; 2
40.46560; -3.68971; 3
40.46554; -3.68975; 4
40.46551; -3.68976; 5
40.46546; -3.68977; 6
40.46539; -3.68978; 7
40.46528; -3.68978; 8
40.46525; -3.68978; 9
40.46484; -3.68984; 10
40.46421; -3.68991; 11
40.46403; -3.68993; 12
40.46392; -3.68994; 13
40.46342; -3.68985; 14
40.46300; -3.68982; 15
40.46290; -3.68973; 16
40.46254; -3.68976; 17
40.46201; -3.68980; 18
40.46154; -3.68984; 19
40.46057; -3.68994; 20
40.45949; -3.69004; 21
40.45859; -3.69013; 22
40.45754; -3.69023; 23
40.45685; -3.69030; 24
40.45649; -3.69033; 25
40.45581; -3.69040; 26
40.45491; -3.69049; 27
40.45430; -3.69055; 28
40.45411; -3.69057; 29
40.45367; -3.69060; 30
40.45331; -3.69063; 31
40.45313; -3.69065; 32
40.45277; -3.69068; 33
40.45257; -3.69071; 34
40.45220; -3.69075; 35
40.45202; -3.69077; 36
40.45166; -3.69081; 37
40.45131; -3.69084; 38
40.45109; -3.69085; 39
40.45062; -3.69090; 40
40.45008; -3.69095; 41
40.44924; -3.69104; 42
40.44877; -3.69108; 43
40.44874; -3.69108; 44
40.44820; -3.69114; 45
40.44748; -3.69121; 46
40.44718; -3.69123; 47
40.44710; -3.69124; 48
40.44706; -3.69125; 49
40.44691; -3.69128; 50
40.44686; -3.69129; 51
40.44663; -3.69131; 52
40.44635; -3.69135; 53
40.44610; -3.69139; 54
40.44593; -3.69141; 55
40.44585; -3.69142; 56
40.44562; -3.69144; 57
40.44544; -3.69146; 58
40.44520; -3.69148; 59
40.44499; -3.69150; 60
40.44450; -3.69155; 61
40.44379; -3.69162; 62
40.44370; -3.69163; 63
40.44360; -3.69165; 64
40.44347; -3.69166; 65
40.44317; -3.69169; 66
40.44258; -3.69174; 67
40.44208; -3.69179; 68
40.44193; -3.69180; 69
40.44187; -3.69181; 70
40.44177; -3.69182; 71
40.44156; -3.69187; 72
40.44140; -3.69192; 73
40.44140; -3.69200; 74
40.44140; -3.69206; 75
40.44140; -3.69215; 76
40.44140; -3.69234; 77
40.44136; -3.69269; 78
40.44137; -3.69285; 79
40.44139; -3.69316; 80
40.44143; -3.69401; 81
40.44145; -3.69416; 82
40.44148; -3.69427; 83
40.44155; -3.69453; 84
40.44159; -3.69464; 85
40.44160; -3.69469; 86
40.44167; -3.69491; 87
40.44170; -3.69515; 88
40.44171; -3.69534; 89
40.44172; -3.69546; 90
40.44172; -3.69554; 91
40.44174; -3.69600; 92
40.44181; -3.69726; 93
40.44182; -3.69750; 94
40.44188; -3.69905; 95
40.44189; -3.69920; 96
40.44190; -3.69937; 97
40.44190; -3.69955; 98
40.44192; -3.69974; 99
40.44192; -3.69988; 100
40.44194; -3.70021; 101
